year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2016-2017,Rabi,Warangal (Urban),Warangal,Groundnut,0.2,0
2016-2017,Rabi,Warangal (Urban),Khilla_warangal,Groundnut,,0
2016-2017,Rabi,Warangal (Urban),Inole,Groundnut,156.7,55
2016-2017,Rabi,Warangal (Urban),Bheemadevarapalle,Total,3669.6,4617
2016-2017,Rabi,Warangal (Urban),Velair,Total,0,2337
2016-2017,Rabi,Warangal (Urban),Elkathurthi,Total,6056,5994
2016-2017,Rabi,Warangal (Urban),Kamalapur,Total,3369,7380
2016-2017,Rabi,Warangal (Urban),Hasanparthy,Total,2703.6,6250
2016-2017,Rabi,Warangal (Urban),Dharmasagar,Total,3251.8,4290
2016-2017,Rabi,Warangal (Urban),Khazipet,Total,0,1264
2016-2017,Rabi,Warangal (Urban),Hanamkonda,Total,2206,464
2016-2017,Rabi,Warangal (Urban),Warangal,Total,172,123
2016-2017,Rabi,Warangal (Urban),Khilla_warangal,Total,0,691
2016-2017,Rabi,Warangal (Urban),Inole,Total,1744.1,2453
