year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Rabi,Warangal (Urban),Bheemadevarapalle,Paddy,1552,707
2018-2019,Rabi,Warangal (Urban),Velair,Paddy,388,428
2018-2019,Rabi,Warangal (Urban),Elkathurthi,Paddy,2275,1020
2018-2019,Rabi,Warangal (Urban),Kamalapur,Paddy,2789,660
2018-2019,Rabi,Warangal (Urban),Hasanparthy,Paddy,2504,640
2018-2019,Rabi,Warangal (Urban),Dharmasagar,Paddy,1351,702
2018-2019,Rabi,Warangal (Urban),Khazipet,Paddy,325,198
2018-2019,Rabi,Warangal (Urban),Hanamkonda,Paddy,713,32
2018-2019,Rabi,Warangal (Urban),Warangal,Paddy,80,5
2018-2019,Rabi,Warangal (Urban),Khilla_warangal,Paddy,114,125
2018-2019,Rabi,Warangal (Urban),Inole,Paddy,608,348
2018-2019,Rabi,Warangal (Urban),Bheemadevarapalle,Maize,2354,1263
2018-2019,Rabi,Warangal (Urban),Velair,Maize,518,803
2018-2019,Rabi,Warangal (Urban),Elkathurthi,Maize,2213,1650
2018-2019,Rabi,Warangal (Urban),Kamalapur,Maize,1024,859
2018-2019,Rabi,Warangal (Urban),Hasanparthy,Maize,1175,720
2018-2019,Rabi,Warangal (Urban),Dharmasagar,Maize,2294,1856
2018-2019,Rabi,Warangal (Urban),Khazipet,Maize,167,286
2018-2019,Rabi,Warangal (Urban),Hanamkonda,Maize,488,5
2018-2019,Rabi,Warangal (Urban),Warangal,Maize,51,124
2018-2019,Rabi,Warangal (Urban),Khilla_warangal,Maize,121,334
2018-2019,Rabi,Warangal (Urban),Inole,Maize,535,792
2018-2019,Rabi,Warangal (Urban),Bheemadevarapalle,Green Gram,11,10
2018-2019,Rabi,Warangal (Urban),Velair,Green Gram,4,3
2018-2019,Rabi,Warangal (Urban),Elkathurthi,Green Gram,6,
2018-2019,Rabi,Warangal (Urban),Kamalapur,Green Gram,15,15
2018-2019,Rabi,Warangal (Urban),Hasanparthy,Green Gram,8,2
2018-2019,Rabi,Warangal (Urban),Dharmasagar,Green Gram,5,10
2018-2019,Rabi,Warangal (Urban),Khazipet,Green Gram,0,2
2018-2019,Rabi,Warangal (Urban),Hanamkonda,Green Gram,17,
2018-2019,Rabi,Warangal (Urban),Warangal,Green Gram,0,12
2018-2019,Rabi,Warangal (Urban),Khilla_warangal,Green Gram,0,21
2018-2019,Rabi,Warangal (Urban),Inole,Green Gram,8,12
2018-2019,Rabi,Warangal (Urban),Bheemadevarapalle,Black Gram,3,0
2018-2019,Rabi,Warangal (Urban),Velair,Black Gram,2,
2018-2019,Rabi,Warangal (Urban),Elkathurthi,Black Gram,21,10
2018-2019,Rabi,Warangal (Urban),Kamalapur,Black Gram,7,7
2018-2019,Rabi,Warangal (Urban),Hasanparthy,Black Gram,2,
2018-2019,Rabi,Warangal (Urban),Dharmasagar,Black Gram,1,5
2018-2019,Rabi,Warangal (Urban),Khazipet,Black Gram,0,1
2018-2019,Rabi,Warangal (Urban),Hanamkonda,Black Gram,8,2
2018-2019,Rabi,Warangal (Urban),Warangal,Black Gram,0,
2018-2019,Rabi,Warangal (Urban),Khilla_warangal,Black Gram,0,
2018-2019,Rabi,Warangal (Urban),Inole,Black Gram,14,12
2018-2019,Rabi,Warangal (Urban),Bheemadevarapalle,Bengal Gram,46,52
2018-2019,Rabi,Warangal (Urban),Velair,Bengal Gram,5,12
2018-2019,Rabi,Warangal (Urban),Elkathurthi,Bengal Gram,31,22
2018-2019,Rabi,Warangal (Urban),Kamalapur,Bengal Gram,54,220
2018-2019,Rabi,Warangal (Urban),Hasanparthy,Bengal Gram,4,10
2018-2019,Rabi,Warangal (Urban),Dharmasagar,Bengal Gram,8,14
2018-2019,Rabi,Warangal (Urban),Khazipet,Bengal Gram,0,0
2018-2019,Rabi,Warangal (Urban),Hanamkonda,Bengal Gram,8,
2018-2019,Rabi,Warangal (Urban),Warangal,Bengal Gram,0,8
2018-2019,Rabi,Warangal (Urban),Khilla_warangal,Bengal Gram,0,11
2018-2019,Rabi,Warangal (Urban),Inole,Bengal Gram,8,25
2018-2019,Rabi,Warangal (Urban),Bheemadevarapalle,Cow Gram,31,
2018-2019,Rabi,Warangal (Urban),Velair,Cow Gram,6,
2018-2019,Rabi,Warangal (Urban),Elkathurthi,Cow Gram,27,1
2018-2019,Rabi,Warangal (Urban),Kamalapur,Cow Gram,25,25
2018-2019,Rabi,Warangal (Urban),Hasanparthy,Cow Gram,4,2
2018-2019,Rabi,Warangal (Urban),Dharmasagar,Cow Gram,26,5
2018-2019,Rabi,Warangal (Urban),Khazipet,Cow Gram,0,1
2018-2019,Rabi,Warangal (Urban),Hanamkonda,Cow Gram,8,
2018-2019,Rabi,Warangal (Urban),Warangal,Cow Gram,0,
2018-2019,Rabi,Warangal (Urban),Khilla_warangal,Cow Gram,0,
2018-2019,Rabi,Warangal (Urban),Inole,Cow Gram,0,
2018-2019,Rabi,Warangal (Urban),Bheemadevarapalle,Chillies,0,
2018-2019,Rabi,Warangal (Urban),Velair,Chillies,0,
2018-2019,Rabi,Warangal (Urban),Elkathurthi,Chillies,0,
2018-2019,Rabi,Warangal (Urban),Kamalapur,Chillies,4,4
2018-2019,Rabi,Warangal (Urban),Hasanparthy,Chillies,28,5
2018-2019,Rabi,Warangal (Urban),Dharmasagar,Chillies,13,
2018-2019,Rabi,Warangal (Urban),Khazipet,Chillies,0,
2018-2019,Rabi,Warangal (Urban),Hanamkonda,Chillies,2,
2018-2019,Rabi,Warangal (Urban),Warangal,Chillies,0,12
2018-2019,Rabi,Warangal (Urban),Khilla_warangal,Chillies,0,31
2018-2019,Rabi,Warangal (Urban),Inole,Chillies,0,
2018-2019,Rabi,Warangal (Urban),Bheemadevarapalle,Groundnut,223,200
2018-2019,Rabi,Warangal (Urban),Velair,Groundnut,24,58
2018-2019,Rabi,Warangal (Urban),Elkathurthi,Groundnut,80,30
2018-2019,Rabi,Warangal (Urban),Kamalapur,Groundnut,43,80
2018-2019,Rabi,Warangal (Urban),Hasanparthy,Groundnut,99,33
2018-2019,Rabi,Warangal (Urban),Dharmasagar,Groundnut,84,66
2018-2019,Rabi,Warangal (Urban),Khazipet,Groundnut,4,4
2018-2019,Rabi,Warangal (Urban),Hanamkonda,Groundnut,82,0
2018-2019,Rabi,Warangal (Urban),Warangal,Groundnut,0,2
2018-2019,Rabi,Warangal (Urban),Khilla_warangal,Groundnut,0,21
2018-2019,Rabi,Warangal (Urban),Inole,Groundnut,20,98
2018-2019,Rabi,Warangal (Urban),Bheemadevarapalle,Total,4220,2232
2018-2019,Rabi,Warangal (Urban),Velair,Total,947,1304
2018-2019,Rabi,Warangal (Urban),Elkathurthi,Total,4653,2733
2018-2019,Rabi,Warangal (Urban),Kamalapur,Total,3961,1870
2018-2019,Rabi,Warangal (Urban),Hasanparthy,Total,3824,1412
2018-2019,Rabi,Warangal (Urban),Dharmasagar,Total,3782,2658
2018-2019,Rabi,Warangal (Urban),Khazipet,Total,496,492
2018-2019,Rabi,Warangal (Urban),Hanamkonda,Total,1326,39
2018-2019,Rabi,Warangal (Urban),Warangal,Total,131,163
2018-2019,Rabi,Warangal (Urban),Khilla_warangal,Total,235,543
2018-2019,Rabi,Warangal (Urban),Inole,Total,1193,1287
