year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Paddy,960.6,947
2016-2017,Kharif,Warangal (Urban),Velair,Paddy,,774
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Paddy,1801.8,2118
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Paddy,2239.6,4004
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Paddy,2454,3264
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Paddy,1434,1674
2016-2017,Kharif,Warangal (Urban),Khazipet,Paddy,,866
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Paddy,1473,196
2016-2017,Kharif,Warangal (Urban),Warangal,Paddy,180,148
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Paddy,,601
2016-2017,Kharif,Warangal (Urban),Inavole,Paddy,,1180
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Jowar,0,0
2016-2017,Kharif,Warangal (Urban),Velair,Jowar,,0
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Jowar,0,0
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Jowar,0,0
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Jowar,0,0
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Jowar,0,0
2016-2017,Kharif,Warangal (Urban),Khazipet,Jowar,,0
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Jowar,0,0
2016-2017,Kharif,Warangal (Urban),Warangal,Jowar,0,0
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Jowar,,0
2016-2017,Kharif,Warangal (Urban),Inavole,Jowar,,0
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Maize,1641.4,2298
2016-2017,Kharif,Warangal (Urban),Velair,Maize,,1232
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Maize,494.4,838
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Maize,128.6,312
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Maize,696,400
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Maize,2031,1606
2016-2017,Kharif,Warangal (Urban),Khazipet,Maize,,407
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Maize,988,94
2016-2017,Kharif,Warangal (Urban),Warangal,Maize,58,50
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Maize,,594
2016-2017,Kharif,Warangal (Urban),Inavole,Maize,,1369
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Green Gram,6.2,5
2016-2017,Kharif,Warangal (Urban),Velair,Green Gram,,12
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Green Gram,6.6,127
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Green Gram,2.6,0
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Green Gram,13,4
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Green Gram,59,30
2016-2017,Kharif,Warangal (Urban),Khazipet,Green Gram,,24
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Green Gram,38,0
2016-2017,Kharif,Warangal (Urban),Warangal,Green Gram,0,15
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Green Gram,,11
2016-2017,Kharif,Warangal (Urban),Inavole,Green Gram,,48
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Black Gram,0,2
2016-2017,Kharif,Warangal (Urban),Velair,Black Gram,,0
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Black Gram,0.4,0
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Black Gram,0.8,0
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Black Gram,4,0
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Black Gram,1,0
2016-2017,Kharif,Warangal (Urban),Khazipet,Black Gram,,11
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Black Gram,8,0
2016-2017,Kharif,Warangal (Urban),Warangal,Black Gram,0,0
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Black Gram,,0
2016-2017,Kharif,Warangal (Urban),Inavole,Black Gram,,0
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Red Gram,16.4,43
2016-2017,Kharif,Warangal (Urban),Velair,Red Gram,,123
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Red Gram,27.8,283
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Red Gram,18.6,66
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Red Gram,11,63
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Red Gram,131,260
2016-2017,Kharif,Warangal (Urban),Khazipet,Red Gram,,279
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Red Gram,49,4
2016-2017,Kharif,Warangal (Urban),Warangal,Red Gram,0,28
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Red Gram,,85
2016-2017,Kharif,Warangal (Urban),Inavole,Red Gram,,193
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Cow Gram,0,0
2016-2017,Kharif,Warangal (Urban),Velair,Cow Gram,0,0
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Cow Gram,0,0
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Cow Gram,0,0
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Cow Gram,0,0
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Cow Gram,0,0
2016-2017,Kharif,Warangal (Urban),Khazipet,Cow Gram,0,2
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Cow Gram,0,0
2016-2017,Kharif,Warangal (Urban),Warangal,Cow Gram,0,2
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Cow Gram,0,1
2016-2017,Kharif,Warangal (Urban),Inavole,Cow Gram,0,1
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Chillies,7.2,14
2016-2017,Kharif,Warangal (Urban),Velair,Chillies,,75
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Chillies,16.4,105
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Chillies,75.2,134
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Chillies,29,109
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Chillies,40,40
2016-2017,Kharif,Warangal (Urban),Khazipet,Chillies,,4
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Chillies,42,0
2016-2017,Kharif,Warangal (Urban),Warangal,Chillies,0,0
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Chillies,,15
2016-2017,Kharif,Warangal (Urban),Inavole,Chillies,,8
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Turmeric,4,0
2016-2017,Kharif,Warangal (Urban),Velair,Turmeric,,0
