year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Paddy,989,1081
2017-2018,Kharif,Warangal (Urban),Velair,Paddy,155,834
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Paddy,1806,2350
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Paddy,2539,3516
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Paddy,2521,4008
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Paddy,1505,1429
2017-2018,Kharif,Warangal (Urban),Khazipet,Paddy,173,1304
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Paddy,1175,183
2017-2018,Kharif,Warangal (Urban),Warangal,Paddy,170,136
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Paddy,120,582
2017-2018,Kharif,Warangal (Urban),Inavole,Paddy,236,1228
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Jowar,,
2017-2018,Kharif,Warangal (Urban),Velair,Jowar,,
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Jowar,,
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Jowar,,
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Jowar,,
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Jowar,,
2017-2018,Kharif,Warangal (Urban),Khazipet,Jowar,,4
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Jowar,,
2017-2018,Kharif,Warangal (Urban),Warangal,Jowar,,
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Jowar,,
2017-2018,Kharif,Warangal (Urban),Inavole,Jowar,,
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Maize,1993,1455
2017-2018,Kharif,Warangal (Urban),Velair,Maize,246,1166
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Maize,620,561
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Maize,174,158
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Maize,648,481
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Maize,1983,1553
2017-2018,Kharif,Warangal (Urban),Khazipet,Maize,81,595
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Maize,948,10
2017-2018,Kharif,Warangal (Urban),Warangal,Maize,58,31
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Maize,119,241
2017-2018,Kharif,Warangal (Urban),Inavole,Maize,274,1169
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Green Gram,8,10
2017-2018,Kharif,Warangal (Urban),Velair,Green Gram,3,7
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Green Gram,29,15
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Green Gram,5,4
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Green Gram,7,0
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Green Gram,39,20
2017-2018,Kharif,Warangal (Urban),Khazipet,Green Gram,5,40
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Green Gram,32,0
2017-2018,Kharif,Warangal (Urban),Warangal,Green Gram,3,0
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Green Gram,2,1
2017-2018,Kharif,Warangal (Urban),Inavole,Green Gram,10,35
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Black Gram,0,2
2017-2018,Kharif,Warangal (Urban),Velair,Black Gram,0,0
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Black Gram,0,0
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Black Gram,2,0
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Black Gram,0,0
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Black Gram,0,0
2017-2018,Kharif,Warangal (Urban),Khazipet,Black Gram,2,0
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Black Gram,5,0
2017-2018,Kharif,Warangal (Urban),Warangal,Black Gram,0,0
